 ,Area,X,Y,Perim.
1,1,2631.500,73.500,2.828
2,32,2890.062,288.062,19.556
3,6,3010.000,329.833,9.071
4,1,2684.500,348.500,2.828
5,14,2872.357,419.500,13.314
6,63,1438.373,536.262,31.213
7,1,3166.500,610.500,2.828
8,2,1211.000,798.500,4.243
9,9,1150.833,861.611,9.899
10,2,1148.000,866.500,4.243
11,11,3437.864,871.409,13.314
12,21,1123.548,892.071,18.728
13,17,1105.382,901.088,13.899
14,7,1113.500,904.500,8.485
15,18,941.500,1016.000,14.485
16,7,894.500,1049.500,8.485
17,5,1051.100,1082.300,7.657
18,27,2745.833,1139.463,20.142
19,1,4202.500,1183.500,2.828
20,1,4664.500,1186.500,2.828
21,1,4453.500,1188.500,2.828
22,9,4450.833,1263.056,10.485
23,18,4475.167,1276.500,14.485
24,33,3302.136,1291.894,20.728
25,146,835.658,1371.849,53.598
26,25,2589.620,1400.700,18.142
27,4,4218.500,1460.000,7.071
28,90,938.600,1502.200,34.870
29,21,1269.595,1500.310,16.728
30,4,4319.000,1565.000,5.657
31,14,2598.857,1577.786,13.071
32,39,4648.269,1599.474,23.556
33,118,4664.992,1619.076,40.284
34,1,882.500,1638.500,2.828
35,10,4154.700,1672.200,11.071
36,1,4451.500,1715.500,2.828
37,27,4769.019,1735.389,18.142
38,166,650.271,1949.355,47.941
39,42,1265.262,1980.000,28.142
40,4,4697.000,2502.000,5.657
41,2,3111.000,2505.500,4.243
42,9,2840.056,2518.833,10.485
43,38,3049.263,2533.105,22.971
44,1,3045.500,2566.500,2.828
45,232,5091.056,2580.677,61.941
46,35,3087.929,2594.214,21.556
47,35,2991.814,2620.814,22.142
48,44,3221.045,2651.727,25.213
49,100,3037.290,2656.460,38.870
50,72,2618.819,2660.056,31.213
51,7,3197.214,2662.071,9.657
52,22,3208.545,2664.364,19.899
53,12,2621.583,2674.667,12.485
54,35,2628.414,2685.271,20.971
55,59,5110.568,2692.907,27.799
56,11,3173.227,2708.136,14.485
57,23,3163.065,2715.804,20.728
58,2,3132.500,2724.000,4.828
59,1,2652.500,2730.500,2.828
60,66,3319.000,2765.333,32.627
61,70,3296.800,2770.386,34.627
62,7,3288.786,2778.500,9.071
63,15,3101.033,2788.033,14.485
64,144,2993.292,2798.646,46.284
65,143,3001.927,2812.983,48.042
66,5,3493.700,2844.900,7.657
67,120,3524.508,2850.467,47.113
68,9,3197.500,2852.500,12.485
69,30,3591.167,2860.533,20.142
70,41,3607.183,2866.476,26.385
71,21,3554.071,2869.881,19.556
72,1,1192.500,2872.500,2.828
73,21,3630.595,2878.119,17.314
74,1,2879.500,2887.500,2.828
75,1,3536.500,2892.500,2.828
76,291,4974.050,2905.125,65.012
77,1,3537.500,2896.500,2.828
78,1,3536.500,2902.500,2.828
79,2,3773.000,2912.500,4.243
80,8,3121.625,2915.375,9.071
81,147,3710.439,2929.452,52.284
82,6,3681.000,2923.000,9.071
83,7,3249.214,2928.929,9.657
84,39,3457.038,2934.064,22.142
85,27,3392.759,2936.907,18.142
86,126,3228.635,2949.159,42.284
87,9,4838.056,2949.833,11.314
88,1,2376.500,2949.500,2.828
89,1,3210.500,2949.500,2.828
90,153,2888.650,2956.114,47.698
91,35,3647.386,2952.671,23.556
92,8,2377.125,2953.250,10.485
93,43,4552.500,2958.965,28.971
94,4,3167.000,2956.000,5.657
95,2,3396.500,2957.000,4.828
96,2,2379.500,2960.000,4.828
97,27,3315.907,2965.685,20.142
98,134,3031.910,2973.164,45.456
99,42,3772.619,2969.381,22.971
100,92,2291.261,2976.815,41.456
101,1,3390.500,2968.500,2.828
102,243,3948.368,2980.718,58.284
103,24,4896.958,2978.375,17.314
104,30,3786.933,2981.833,21.556
105,4,3391.000,2980.000,5.657
106,102,3908.569,2984.902,37.213
107,3,3242.167,2981.833,5.657
108,2,3390.500,2988.000,4.828
109,67,3596.425,2993.276,34.042
110,358,3023.913,3007.634,71.012
111,51,2211.716,3000.559,30.971
112,1,2399.500,2996.500,2.828
113,161,2298.916,3007.034,50.870
114,133,3399.635,3018.590,51.355
115,420,3346.267,3024.750,79.012
116,13,4176.962,3024.885,12.485
117,8,4051.375,3027.625,9.071
118,9,4094.167,3036.389,10.485
119,353,3920.712,3050.534,73.255
120,5,3379.500,3040.300,8.485
121,1,3597.500,3039.500,2.828
122,1,2871.500,3042.500,2.828
123,164,3061.476,3057.811,46.284
124,17,5326.147,3055.265,15.899
125,16,3376.125,3058.500,13.899
126,414,3547.669,3068.478,82.083
127,114,3379.737,3068.316,45.456
128,5,3641.300,3063.300,8.485
129,68,3687.647,3069.544,28.971
130,10,3638.500,3071.300,12.485
131,386,3076.679,3082.225,72.426
132,5,2976.700,3072.100,7.657
133,167,4407.087,3080.638,47.698
134,39,3837.500,3080.500,21.556
135,3,2970.833,3078.833,5.657
136,286,4556.713,3088.710,67.598
137,10,3516.800,3082.800,11.314
138,22,3608.864,3086.818,19.314
139,87,4272.121,3087.718,36.627
140,40,3619.175,3090.000,22.971
141,381,3282.070,3111.106,81.012
142,89,3495.567,3099.961,34.385
143,9,3608.389,3098.833,10.485
144,50,3037.200,3115.160,25.556
145,1,4167.500,3126.500,2.828
146,18,3597.167,3145.111,19.314
147,239,3086.015,3152.738,57.598
148,1,2768.500,3150.500,2.828
149,31,2881.500,3153.726,20.728
150,34,3206.441,3153.382,21.556
151,85,3135.900,3158.594,33.799
152,2,4122.000,3157.500,4.243
153,2,3129.000,3158.500,4.243
154,73,4656.993,3173.938,33.213
155,326,3831.049,3184.933,78.426
156,1,2609.500,3173.500,2.828
157,125,3754.196,3184.428,49.355
158,9,2220.167,3179.611,10.485
159,201,3965.167,3187.391,52.284
160,63,3221.690,3187.849,32.627
161,2,4077.500,3187.000,4.828
162,39,4085.936,3195.269,22.971
163,32,2890.000,3197.219,20.142
164,65,4243.900,3202.469,31.213
165,6,3112.500,3207.000,7.657
166,79,3843.677,3211.715,32.971
167,103,3697.024,3217.160,39.456
168,9,3508.167,3211.389,10.485
169,45,4727.233,3213.611,26.971
170,184,3912.125,3218.125,49.698
171,1,3535.500,3214.500,2.828
172,17,3513.676,3224.676,14.728
173,137,4183.850,3227.595,50.870
174,13,2910.500,3228.500,12.485
175,178,3271.292,3235.534,50.527
176,2,4236.500,3227.000,4.828
177,95,4026.121,3240.142,34.627
178,65,2355.254,3252.854,28.971
179,45,3401.478,3253.322,23.556
180,1,3325.500,3250.500,2.828
181,235,4097.551,3267.615,57.941
182,1,4063.500,3270.500,2.828
183,180,4675.150,3278.722,51.113
184,275,1961.911,3287.762,61.355
185,47,4079.479,3283.585,30.385
186,74,2668.351,3303.324,30.385
187,150,3033.033,3305.240,48.284
188,9,4417.278,3302.389,12.485
189,317,3153.446,3313.418,68.770
190,15,4045.900,3312.167,13.899
191,11,3387.591,3312.864,11.071
192,48,2505.812,3317.292,24.971
193,1,3299.500,3314.500,2.828
194,13,2923.038,3317.808,13.314
195,444,3081.815,3337.338,84.912
196,322,3474.102,3335.571,69.355
197,109,3656.959,3333.344,40.042
198,86,2666.756,3332.512,34.042
199,194,2331.464,3337.170,54.284
200,14,3243.357,3335.929,15.314
201,111,2861.050,3350.203,37.456
202,109,3712.674,3354.436,39.213
203,19,2810.447,3353.711,15.314
204,1,3945.500,3354.500,2.828
205,13,3521.731,3364.654,13.314
206,72,4012.639,3376.861,32.870
207,389,3571.942,3384.299,73.497
208,2,5353.000,3381.500,4.243
209,6,3005.500,3383.000,7.657
210,6,3522.833,3385.667,9.657
211,139,3700.442,3397.248,51.698
212,330,2065.691,3402.294,67.841
213,57,3462.658,3398.360,28.142
214,9,4261.833,3396.611,9.899
215,238,3355.252,3405.210,60.527
216,6,3317.667,3400.667,8.485
217,21,3189.690,3408.548,15.899
218,5,4096.300,3409.700,8.485
219,12,4023.333,3417.500,13.899
220,362,3073.309,3429.260,71.841
221,6,2205.000,3420.500,7.657
222,55,2764.864,3425.845,26.971
223,3,3466.500,3422.500,6.828
224,8,3270.750,3423.375,9.899
225,11,3358.864,3426.591,11.071
226,271,2492.500,3440.375,60.770
227,3,2519.500,3440.500,6.828
228,312,3245.865,3465.484,64.770
229,233,4242.114,3470.672,57.113
230,185,3101.224,3471.700,49.941
231,237,3846.150,3481.884,57.698
232,4,3255.000,3475.000,5.657
233,74,1527.608,3485.365,31.213
234,214,2652.491,3489.650,54.184
235,1,4054.500,3486.500,2.828
236,90,4740.067,3495.844,35.456
237,22,3311.955,3498.273,18.142
238,66,3185.348,3522.636,33.456
239,3,3958.167,3518.167,5.657
240,261,2601.397,3531.125,62.426
241,17,3151.853,3525.265,14.728
242,98,2617.622,3535.888,35.456
243,547,3222.295,3545.469,90.326
244,224,3317.388,3540.670,56.527
245,262,2693.695,3551.691,59.355
246,55,3246.973,3545.827,28.142
247,514,3579.591,3576.247,103.054
248,27,4189.611,3564.796,18.728
249,31,2486.048,3579.081,19.314
250,245,3129.218,3590.896,57.941
251,1,4164.500,3582.500,2.828
252,4,3827.500,3601.000,7.071
253,152,2716.454,3608.329,45.456
254,69,937.486,3607.326,29.799
255,115,3524.900,3609.022,43.456
256,1,3706.500,3608.500,2.828
257,235,3692.291,3623.002,58.184
258,37,3249.932,3624.041,21.556
259,173,1801.396,3629.275,48.284
260,158,3344.329,3630.684,47.456
261,54,2996.500,3631.519,27.799
262,343,3146.538,3640.541,73.841
263,2,4455.500,3636.000,4.828
264,66,4578.848,3660.242,29.799
265,92,2083.707,3665.957,35.556
266,1,4216.500,3662.500,2.828
267,197,2631.353,3683.327,51.941
268,54,2663.370,3681.037,26.971
269,39,3119.782,3683.269,27.799
270,18,1530.111,3682.611,15.899
271,1,2206.500,3684.500,2.828
272,1,2217.500,3688.500,2.828
273,37,3939.311,3704.527,21.556
274,146,3389.034,3723.356,45.113
275,222,3477.892,3735.932,59.941
276,38,4403.526,3736.816,21.556
277,6,3301.833,3739.333,9.657
278,65,2790.085,3745.146,29.799
279,452,3442.613,3754.330,95.740
280,655,2408.544,3761.098,97.983
281,125,4666.284,3754.436,43.456
282,183,3907.680,3772.910,51.941
283,211,3556.296,3781.491,62.770
284,177,3093.172,3780.415,48.284
