 ,Area,X,Y,Perim.
1,78,3730.603,300.667,33.213
2,7,1410.786,537.500,9.071
3,15,2810.100,555.433,13.314
4,93,2405.887,597.941,36.385
5,1,899.500,664.500,2.828
6,13,4361.885,731.192,13.314
7,6,1737.500,768.000,7.657
8,16,4427.812,807.062,17.314
9,6,4504.333,883.500,8.485
10,3,4521.500,899.167,7.071
11,13,4539.654,912.115,13.314
12,10,4597.900,968.300,14.142
13,1,695.500,992.500,2.828
14,2,4643.500,1025.000,4.828
15,8,4649.750,1033.125,10.485
16,9,4655.389,1043.056,10.485
17,24,4665.167,1065.625,20.728
18,2,4669.000,1072.500,4.243
19,6,4665.500,1076.000,7.657
20,6,4672.667,1079.000,10.485
21,12,4695.000,1104.750,12.485
22,5,617.300,1106.900,7.071
23,9,4699.167,1118.389,10.485
24,24,4708.542,1134.125,20.971
25,2,4727.000,1156.500,4.243
26,22,2915.045,1225.636,16.728
27,7,4782.071,1239.357,9.899
28,2,4785.500,1242.000,4.828
29,16,2192.062,1258.562,13.899
30,69,683.384,1284.326,31.213
31,61,706.402,1295.877,28.971
32,2,468.500,1293.000,4.828
33,1,468.500,1322.500,2.828
34,6,2678.000,1349.500,7.657
35,54,737.185,1357.574,26.627
36,5,683.100,1362.300,7.657
37,1,1142.500,1362.500,2.828
38,7,4879.500,1373.357,9.899
39,1,558.500,1378.500,2.828
40,5,866.900,1379.700,7.657
41,31,939.339,1390.435,20.971
42,162,766.222,1399.938,48.284
43,8,2176.500,1405.000,10.485
44,122,4107.262,1419.828,42.042
45,80,4443.575,1426.925,40.627
46,78,825.244,1429.372,34.385
47,67,897.560,1427.321,32.385
48,15,1165.967,1433.633,13.314
49,2,2776.000,1446.500,4.243
50,1,4163.500,1448.500,2.828
51,10,505.800,1453.300,11.071
52,2,2844.500,1471.000,4.828
53,2,828.000,1481.500,4.243
54,14,1186.000,1488.643,13.314
55,44,1189.705,1498.023,23.556
56,21,1112.881,1498.929,15.899
57,27,4749.759,1501.389,22.971
58,107,734.734,1502.799,42.042
59,9,752.167,1499.944,13.071
60,162,796.068,1528.167,51.113
61,4,2265.500,1536.250,7.071
62,9,4034.833,1545.389,9.899
63,2,1143.000,1567.500,4.243
64,6,4553.167,1594.000,9.657
65,11,2290.136,1594.409,11.071
66,181,973.019,1603.870,49.941
67,48,4380.917,1610.479,28.971
68,3,309.167,1606.167,5.657
69,64,1150.938,1615.406,29.799
70,584,3936.104,1632.955,99.640
71,28,4578.107,1623.714,19.556
72,5,4772.900,1622.700,7.657
73,122,2845.131,1669.738,47.113
74,1,4010.500,1677.500,2.828
75,143,909.703,1691.878,52.870
76,8,1243.375,1683.625,9.071
77,39,1239.808,1698.526,25.556
78,164,4313.421,1712.793,54.284
79,149,426.433,1738.735,50.284
80,17,1155.676,1733.735,14.728
81,4,4452.000,1734.000,5.657
82,3,2758.833,1739.167,5.657
83,67,4456.112,1745.440,29.799
84,5,788.100,1747.300,7.657
85,4,1280.250,1765.750,7.657
86,35,4249.957,1774.414,21.213
87,1,2767.500,1811.500,2.828
88,1,2412.500,1889.500,2.828
89,18,3947.111,1893.389,17.899
90,1,3898.500,1899.500,2.828
91,11,3973.409,1987.864,11.071
92,16,3894.062,1991.062,15.314
93,27,1148.648,2007.056,21.799
94,9,1322.944,2021.167,11.314
95,14,3864.500,2022.000,14.485
96,1,3879.500,2043.500,2.828
97,44,4189.000,2054.182,27.556
98,339,721.202,2167.706,74.426
99,28,4095.321,2157.536,19.314
100,24,1270.125,2250.625,18.485
101,5,3979.100,2286.700,7.657
102,97,3970.366,2344.799,39.213
103,37,4031.797,2350.311,23.556
104,14,4058.500,2376.000,14.485
105,9,4288.389,2387.833,10.485
106,1,4378.500,2386.500,2.828
107,7,4193.214,2438.214,10.485
108,14,2913.857,2479.643,13.899
109,6,2937.000,2493.500,7.657
110,7,4227.643,2498.929,10.485
111,225,3957.544,2507.313,54.870
112,21,2966.119,2516.548,16.142
113,96,2491.021,2530.896,42.527
114,2,2946.500,2527.000,4.828
115,99,4134.985,2532.480,36.627
116,10,2945.500,2534.300,11.071
117,201,2521.475,2546.480,64.426
118,38,2959.711,2539.079,22.142
119,10,2915.700,2555.400,14.142
120,10,4248.300,2564.600,12.485
121,104,2547.750,2582.423,46.527
122,28,2846.429,2583.500,23.799
123,6,4174.833,2599.333,9.657
124,178,2565.067,2616.208,57.355
125,19,2871.500,2612.342,15.314
126,70,4109.743,2618.943,32.385
127,105,3963.529,2632.986,39.698
128,11,2756.591,2646.227,12.728
129,3,2762.167,2648.167,5.657
130,180,2829.628,2657.172,56.184
131,132,4062.750,2659.780,45.456
132,4,3977.750,2654.500,7.657
133,2,2965.500,2656.000,4.828
134,11,2498.682,2664.409,12.485
135,2,2957.500,2671.000,4.828
136,131,2465.538,2688.637,46.284
137,60,2383.350,2699.333,32.971
138,1,2586.500,2692.500,2.828
139,1,2946.500,2706.500,2.828
140,98,2494.939,2721.500,37.456
141,5,2597.700,2723.300,8.485
142,37,4082.473,2726.959,22.971
143,19,2602.711,2727.816,16.728
144,1,2433.500,2728.500,2.828
145,95,2473.363,2741.384,43.113
146,88,2794.557,2739.227,40.870
147,60,2621.967,2750.217,31.799
148,4,928.000,2748.000,5.657
149,2,2479.500,2751.000,4.828
150,417,3102.536,2760.517,85.012
151,3,2476.500,2754.500,6.828
152,6,2622.000,2761.500,7.657
153,14,2982.286,2770.143,12.728
154,67,2439.515,2777.664,30.385
155,268,2897.045,2784.429,62.426
156,4,3900.250,2776.500,7.657
157,6,3013.000,2778.500,9.899
158,33,4427.803,2784.591,20.142
159,119,2411.357,2789.433,41.698
160,12,4067.000,2785.833,11.899
161,150,4038.313,2801.940,45.456
162,2,3071.500,2799.000,4.828
163,63,3117.183,2802.246,28.971
164,285,3839.942,2810.012,65.598
165,58,3927.069,2804.138,29.213
166,237,2996.285,2812.057,59.598
167,118,2569.161,2815.051,42.870
168,2,4024.000,2811.500,4.243
169,17,3923.382,2816.088,13.899
170,15,3098.100,2819.900,13.071
171,21,2652.643,2825.929,18.728
172,191,3067.809,2830.118,50.527
173,67,4022.082,2827.873,30.385
174,32,2515.156,2828.219,20.142
175,97,2922.964,2830.624,36.042
176,1,3079.500,2825.500,2.828
177,17,2548.088,2828.794,15.314
178,6,3025.500,2835.000,7.657
179,2,2985.500,2837.000,4.828
180,62,2949.226,2845.000,28.627
181,212,3040.731,2856.736,60.284
182,134,2936.507,2858.440,44.971
183,67,3024.366,2856.276,32.627
184,13,2976.962,2853.654,12.485
185,36,2472.028,2857.639,20.728
186,85,4123.794,2860.335,34.870
187,25,3171.420,2862.060,17.314
188,126,2484.786,2876.087,48.284
189,33,3081.924,2871.470,20.142
190,137,2440.989,2886.982,49.941
191,119,3089.265,2883.492,39.213
192,3,4035.167,2878.833,5.657
193,5,4040.700,2880.900,7.657
194,123,2385.687,2891.581,40.627
195,11,2503.591,2888.682,11.899
196,3,2576.167,2887.833,5.657
197,10,2864.400,2908.300,11.071
198,23,2612.239,2914.500,18.728
199,203,2766.584,2920.993,54.527
200,121,3170.814,2921.839,39.456
201,3,3070.167,2918.167,5.657
202,7,2752.929,2920.500,9.899
203,249,3819.404,2938.873,58.527
204,142,2634.204,2940.683,42.870
205,4,3041.750,2936.500,7.657
206,2,3768.000,2941.000,5.657
207,18,3852.333,2942.389,15.314
