 ,Area,X,Y,Perim.
179,25,3303.060,3294.580,18.485
180,240,3730.808,3310.658,60.184
181,49,3265.337,3312.929,27.556
182,77,2700.760,3314.994,32.627
183,78,3310.641,3317.487,38.042
184,5,3614.900,3311.300,7.657
185,1,2387.500,3315.500,2.828
186,3,3613.167,3316.167,5.657
187,212,2384.250,3326.330,54.770
188,90,2471.656,3331.511,34.870
189,76,2067.145,3344.592,34.627
190,173,2885.737,3348.483,49.698
191,100,3402.860,3351.870,36.627
192,338,2973.325,3360.914,71.355
193,194,4446.567,3359.799,55.698
194,28,2639.857,3357.286,20.971
195,6,2225.000,3355.500,7.657
196,2,4341.500,3356.000,4.828
197,10,3187.300,3358.800,11.071
198,6,3699.667,3360.667,8.485
199,38,2603.553,3364.658,21.556
200,309,2224.895,3376.040,64.770
201,257,3004.714,3389.737,66.184
202,65,2616.162,3384.085,35.456
203,270,3277.641,3389.915,61.598
204,398,2966.249,3397.706,74.426
205,118,3611.585,3394.161,45.113
206,22,2669.500,3392.864,16.728
207,55,3174.500,3394.627,27.799
208,121,3652.657,3396.674,40.870
209,375,3415.713,3404.511,81.598
210,61,2937.385,3408.254,30.971
211,6,4054.333,3403.667,8.485
212,7,2950.786,3409.071,10.485
213,26,2095.346,3416.808,20.142
214,2,3174.500,3428.000,4.828
215,49,3339.520,3433.112,29.899
216,10,3378.000,3430.000,11.314
217,249,3468.263,3438.781,65.841
218,15,3177.900,3431.633,13.899
219,25,3312.500,3431.820,17.556
220,93,2581.167,3441.038,38.627
221,361,3176.242,3449.763,74.669
222,1,2390.500,3441.500,2.828
223,380,2392.745,3459.600,81.255
224,239,1962.529,3462.345,61.698
225,121,2511.591,3456.988,44.870
226,13,3613.192,3453.962,15.314
227,43,3264.733,3458.686,23.556
228,320,3155.850,3472.441,71.841
229,5,3178.300,3472.900,9.657
230,5,3250.900,3475.700,7.657
231,218,4635.183,3495.183,65.355
232,50,1601.220,3490.640,26.385
233,31,3415.145,3492.016,24.971
