 ,Area,X,Y,Perim.
1,6,2553.000,202.833,9.071
2,17,2546.382,208.912,15.314
3,1,2557.500,223.500,2.828
4,31,1750.435,545.919,20.142
5,2,1753.500,555.000,4.828
6,29,4387.638,786.741,20.142
7,9,4431.722,806.389,11.899
8,1,4543.500,855.500,2.828
9,77,3703.136,874.539,34.627
10,15,2874.300,943.567,14.728
11,1,3530.500,968.500,2.828
12,126,1175.579,1289.643,50.284
13,16,4466.812,1330.688,17.314
14,19,850.342,1395.342,14.728
15,1,4445.500,1465.500,2.828
16,7,4441.500,1470.500,8.485
17,15,2645.567,1494.500,16.485
18,6,2713.000,1512.500,7.657
19,7,2650.357,1787.214,9.071
20,122,4631.672,1796.607,44.627
21,22,3261.227,1800.909,18.971
22,55,703.373,1834.209,26.971
23,19,703.289,1853.868,15.314
24,23,4727.283,1942.413,18.971
25,4,4724.000,1951.000,5.657
26,29,1143.328,1993.672,20.728
27,2,1147.000,1999.500,4.243
28,10,2788.000,2605.500,10.485
29,3,485.167,2627.167,5.657
30,76,2962.171,2672.434,34.385
31,16,3115.500,2755.062,17.556
32,183,3122.074,2798.128,58.426
33,15,3169.167,2794.967,13.314
34,67,4976.873,2799.963,30.627
35,4,2708.500,2827.750,7.071
36,38,2707.263,2839.947,24.385
37,52,5054.788,2900.462,27.556
38,4,3361.000,2899.000,5.657
39,92,2935.076,2905.707,37.799
40,101,2917.965,2938.421,41.213
41,22,2313.727,2943.682,18.728
42,8,3424.125,2947.250,10.485
43,28,2318.464,2956.893,21.314
44,11,2862.864,2954.409,11.071
45,34,3186.118,2960.824,22.971
46,4,3442.000,2963.000,5.657
47,41,3174.012,2972.646,22.971
48,35,3468.900,2974.986,20.971
49,9,3169.500,2980.500,11.899
50,40,1393.825,2985.375,24.385
51,317,4959.926,2994.806,70.426
52,314,3252.312,3026.220,69.941
53,210,2974.410,3028.257,61.698
54,5,2207.100,3024.300,7.657
55,53,2947.198,3028.613,29.799
56,77,3525.409,3032.058,38.627
57,22,3603.864,3038.727,16.728
58,35,3606.729,3045.700,22.385
59,10,3646.000,3055.500,11.657
60,22,3367.636,3061.864,16.728
61,17,3691.029,3077.029,15.314
62,8,3369.375,3076.375,9.071
63,420,3764.014,3114.581,89.397
64,2,3711.000,3101.500,4.243
65,1,3460.500,3112.500,2.828
66,1,3446.500,3113.500,2.828
67,122,4310.713,3123.344,46.527
68,164,3219.963,3134.421,47.698
69,13,3727.423,3127.885,12.728
70,2,3513.500,3129.000,4.828
71,165,4209.948,3137.294,46.870
72,12,2944.000,3137.000,11.314
73,1,3623.500,3135.500,2.828
74,1,2908.500,3150.500,2.828
75,18,3660.667,3153.722,18.142
76,256,3733.320,3163.371,65.113
77,94,3146.298,3159.202,35.213
78,1,2908.500,3155.500,2.828
79,20,3923.450,3157.250,15.314
80,74,2977.878,3169.581,36.042
81,274,3390.208,3177.974,64.527
82,149,3016.178,3173.070,43.456
83,56,3843.411,3172.875,28.385
84,268,2951.597,3181.993,62.527
85,19,3821.184,3177.026,19.314
