 ,Area,X,Y,Perim.
1,56,2430.607,171.375,28.385
2,10,2413.700,177.000,10.485
3,13,2422.346,179.731,12.728
4,43,3506.616,183.965,25.213
5,1,3514.500,186.500,2.828
6,17,3079.676,291.794,15.314
7,6,3749.167,298.167,9.071
8,3,3738.167,298.833,5.657
9,1,3740.500,300.500,2.828
10,8,3783.625,337.750,10.485
11,3,1460.833,637.167,5.657
12,16,1473.500,642.625,14.142
13,3,4216.167,652.167,5.657
14,2,1395.500,686.000,4.828
15,33,3807.742,691.773,20.728
16,1,4361.500,703.500,2.828
17,73,4373.390,709.240,37.213
18,6,4386.500,719.000,7.657
19,63,4432.659,737.024,34.142
20,1,4439.500,742.500,2.828
21,33,4490.561,787.167,20.142
22,1,1141.500,869.500,2.828
23,29,4683.121,871.569,20.142
24,7,1130.500,879.786,9.071
25,12,4718.333,893.000,14.728
26,2,1102.000,897.000,5.657
27,18,1050.833,933.333,15.899
28,1,1047.500,936.500,2.828
29,5,4823.300,954.100,7.071
30,12,4835.250,971.333,15.556
31,2,1022.500,971.000,4.828
32,41,1019.159,979.695,27.799
33,11,1002.864,985.409,11.071
34,7,998.500,986.500,8.485
35,8,4858.500,987.000,10.485
36,2,4862.500,987.000,4.828
37,8,993.500,988.625,11.899
38,4,4866.250,989.250,7.657
39,1,4868.500,990.500,2.828
40,44,957.432,994.568,24.971
41,2,4876.500,994.000,4.828
42,1,4894.500,995.500,2.828
43,1,788.500,1107.500,2.828
44,9,777.833,1111.611,9.899
45,5,752.300,1117.900,7.071
46,51,765.127,1119.931,32.142
47,5,750.900,1125.700,7.657
48,1,726.500,1130.500,2.828
49,1,722.500,1135.500,2.828
50,1,736.500,1137.500,2.828
51,8,5025.500,1184.000,10.485
52,39,2724.423,1210.603,25.213
53,4,4428.000,1214.000,5.657
54,4,5194.250,1225.250,7.657
55,11,4294.045,1281.136,11.899
56,3,4297.167,1284.167,5.657
57,1,520.500,1301.500,2.828
58,4,4408.000,1305.000,5.657
59,19,4507.395,1311.921,15.071
60,4,4380.000,1384.000,5.657
61,52,804.538,1393.692,28.385
62,28,2652.786,1399.393,18.728
63,89,1315.388,1403.601,36.284
64,62,775.839,1409.919,28.971
65,3,1023.833,1446.167,5.657
66,35,4226.414,1480.014,22.142
67,90,883.667,1544.511,35.213
68,105,4648.300,1646.129,39.456
69,21,4674.500,1656.024,16.728
70,13,4675.038,1754.654,12.485
71,57,1404.658,1806.798,27.213
