 ,Area,X,Y,Perim.
1,10,1265.700,459.800,11.071
2,26,1268.654,468.115,18.142
3,51,2113.578,716.265,26.385
4,109,1417.408,733.821,38.627
5,11,4064.318,1173.409,12.485
6,1,365.500,1204.500,2.828
7,11,2045.500,1370.591,12.485
8,51,4430.480,1479.814,28.385
9,3,696.833,1502.833,5.657
10,2,697.000,1506.000,5.657
11,62,621.177,1527.323,31.213
12,31,776.823,1534.500,23.314
13,1,2574.500,1557.500,2.828
14,1,746.500,1576.500,2.828
15,57,746.886,1583.570,28.385
16,14,813.429,1610.643,13.071
17,57,703.167,1618.395,30.971
18,17,4458.912,1622.559,14.485
19,6,3869.000,1623.500,7.657
20,11,2752.500,1654.045,12.485
21,157,556.092,1668.959,46.527
22,46,4332.630,1703.043,30.627
23,34,773.676,1708.000,22.385
24,37,773.851,1720.608,21.556
25,109,2692.500,1727.197,37.799
26,104,4266.808,1794.760,41.456
27,8,4177.375,1800.375,9.071
28,21,1071.357,1818.214,16.728
29,69,4327.384,1827.239,34.627
30,1,923.500,1845.500,2.828
31,1,924.500,1847.500,2.828
32,17,3827.618,1850.088,13.899
33,119,672.937,1865.618,45.213
34,127,255.689,1910.972,42.870
35,19,2680.605,1906.395,18.142
36,20,2672.550,1921.750,15.314
37,6,592.333,1923.500,8.485
38,12,4063.917,1946.750,14.485
39,6,803.500,1961.667,8.485
40,13,3824.115,1961.885,11.899
41,2,701.500,1963.000,4.828
42,10,3851.300,1969.000,10.485
43,40,4113.000,1993.125,22.142
44,48,980.750,2013.542,27.556
45,28,3790.679,2023.214,20.728
46,51,4176.304,2056.990,26.728
47,41,3960.963,2070.280,23.799
48,2,507.000,2084.500,4.243
49,5,1080.100,2096.700,7.657
50,31,853.145,2115.306,19.556
51,14,861.214,2123.000,12.485
52,25,802.380,2180.980,19.556
53,2,2672.000,2200.000,5.657
54,26,2689.615,2210.000,17.899
55,44,3911.977,2214.818,25.556
56,4,2871.000,2222.000,5.657
57,3,3021.167,2223.167,5.657
58,3,3085.833,2235.833,5.657
59,2,987.500,2249.000,4.828
60,3,2722.167,2252.833,5.657
61,4,973.500,2281.250,8.485
62,36,2751.694,2289.250,26.385
63,36,2774.694,2294.250,25.314
64,8,3863.625,2299.625,9.071
65,24,2841.833,2302.167,18.142
66,23,3008.065,2306.283,20.142
67,242,3917.740,2325.417,62.669
68,3,3094.833,2323.167,5.657
69,4,2874.750,2330.500,8.485
70,6,2903.667,2333.333,8.485
71,1,2630.500,2334.500,2.828
72,26,2637.692,2336.192,19.314
73,13,2512.500,2338.500,12.485
74,1,2625.500,2339.500,2.828
75,16,2233.000,2353.625,15.314
76,1,2265.500,2352.500,2.828
77,13,2297.423,2354.654,13.314
78,41,2648.671,2358.256,25.213
79,21,2882.024,2357.357,16.485
80,42,1130.333,2362.667,25.799
81,28,2273.357,2362.000,22.385
82,22,2914.455,2362.273,17.556
83,214,530.897,2370.664,58.184
84,34,2900.588,2367.853,20.728
85,57,2234.886,2371.553,29.556
86,10,2314.700,2369.600,11.071
87,4,2310.000,2370.500,7.657
88,1,2323.500,2371.500,2.828
89,27,2321.981,2377.611,19.556
90,1,2867.500,2376.500,2.828
91,2,2877.000,2378.500,4.243
92,10,2313.700,2381.400,12.485
93,78,2464.692,2385.385,39.698
94,2,2839.500,2381.000,4.828
95,1,2767.500,2382.500,2.828
96,18,3850.500,2390.000,14.485
97,76,2247.039,2401.711,35.799
98,11,2130.773,2407.682,12.485
99,4,2447.500,2410.000,7.071
100,2,2904.000,2413.000,5.657
101,130,4146.500,2429.415,46.870
102,6,2272.500,2425.000,7.657
103,24,2272.000,2434.375,17.314
104,18,2532.611,2456.556,14.728
105,2,2809.000,2456.500,4.243
106,23,3026.630,2465.543,20.728
107,71,774.049,2474.528,32.385
108,3,2863.500,2474.500,6.243
109,11,3976.864,2478.136,11.899
110,4,2869.000,2478.000,5.657
111,6,2873.000,2480.000,9.071
112,7,2894.643,2485.214,9.071
113,6,2914.500,2488.667,8.485
114,2,2935.500,2491.000,4.828
115,11,4060.318,2498.955,11.899
116,4,509.500,2504.000,7.071
117,7,2932.214,2507.643,9.071
118,34,4033.265,2523.235,21.556
119,15,4157.167,2528.700,13.899
120,22,1055.091,2535.318,17.899
121,9,2182.944,2561.167,11.314
122,7,2923.500,2565.214,9.071
123,69,3901.833,2569.399,32.042
124,1,2909.500,2574.500,2.828
125,24,2819.333,2581.458,19.556
126,4,2392.000,2587.000,5.657
127,6,2902.500,2591.000,7.657
128,37,4449.851,2595.095,24.142
129,127,3947.949,2609.634,48.627
130,29,3997.845,2604.707,20.142
131,32,2875.375,2611.500,20.728
132,63,2887.659,2615.056,30.627
133,21,4053.690,2614.357,15.899
134,14,2871.143,2619.714,13.314
135,1,4119.500,2620.500,2.828
136,8,357.625,2632.375,9.071
137,19,2232.816,2637.711,17.314
138,7,2997.214,2636.214,10.485
139,15,4039.700,2635.767,13.899
140,28,2827.321,2640.536,23.899
141,60,4041.967,2645.467,28.142
142,1,2229.500,2645.500,2.828
143,6,2832.000,2652.500,7.657
144,1,2381.500,2658.500,2.828
145,16,2845.688,2669.125,13.899
146,13,2893.500,2676.500,12.485
147,162,2465.975,2688.704,51.113
148,67,2999.425,2686.172,29.213
149,44,3922.477,2684.886,23.556
150,21,3092.833,2687.738,16.485
151,3,4025.167,2686.167,5.657
152,4,4114.000,2687.500,7.657
153,10,2446.600,2689.700,11.071
154,65,2436.331,2695.438,29.556
155,24,2325.375,2715.583,18.142
156,13,2989.115,2727.115,11.899
157,23,2404.891,2731.326,17.899
158,91,2415.698,2736.236,36.627
159,115,2433.717,2738.509,43.698
160,53,2978.877,2739.047,28.971
161,7,2249.929,2741.214,9.657
162,1,3016.500,2742.500,2.828
163,456,3098.772,2759.357,93.255
164,134,2904.873,2759.836,46.627
165,6,2456.500,2754.000,10.485
166,3,2291.500,2759.500,6.828
167,74,2399.405,2764.054,32.627
168,7,2250.786,2763.929,11.657
169,3,2698.833,2763.167,5.657
170,158,2993.133,2771.475,46.284
171,81,2901.167,2776.944,32.627
172,1,2400.500,2773.500,2.828
173,48,2369.062,2785.604,27.556
174,46,2317.935,2785.848,24.971
175,16,3044.000,2783.312,13.899
176,1,4160.500,2786.500,2.828
177,54,2585.389,2792.037,27.799
178,10,3042.500,2792.000,11.657
179,14,2368.929,2795.429,13.314
180,9,3052.167,2796.722,13.314
181,47,4076.096,2802.649,25.799
182,18,2273.500,2805.000,14.485
183,13,4008.500,2806.808,13.071
184,140,3011.950,2826.200,43.456
185,32,3107.000,2834.000,19.314
186,107,3777.958,2840.098,38.870
187,413,3045.372,2848.701,91.740
188,14,3064.714,2843.143,13.314
189,203,3822.106,2850.411,54.284
190,47,3904.543,2844.819,24.142
191,6,4071.500,2843.000,7.657
192,55,3095.627,2847.100,26.385
193,49,2823.214,2852.357,30.385
194,614,3134.622,2871.163,112.811
195,1,3791.500,2851.500,2.828
196,18,2566.333,2859.278,18.728
197,43,2493.384,2868.988,23.556
198,297,3810.399,2879.308,63.841
199,94,3081.468,2887.383,41.213
200,20,2924.700,2882.300,16.142
201,37,2538.905,2885.473,22.142
202,66,3160.045,2887.439,32.042
203,6,2900.500,2889.000,7.657
204,24,2578.292,2893.333,18.142
205,4,3998.000,2901.000,5.657
206,10,3907.500,2903.000,10.485
207,4,3244.000,2910.000,5.657
208,373,3181.315,2929.698,76.770
209,13,2793.115,2922.885,11.899
210,91,3841.071,2929.841,35.799
211,18,3897.444,2930.889,17.899
212,11,3265.682,2930.318,11.899
213,16,2964.500,2932.000,13.314
214,127,4020.059,2937.091,41.456
215,5,4033.300,2933.500,8.485
216,66,2474.273,2941.106,31.213
217,10,3793.700,2939.500,10.485
218,80,2602.312,2948.713,33.213
219,21,3731.690,2949.976,17.899
220,12,2487.333,2950.750,12.728
221,69,2432.486,2958.906,35.799
222,10,2896.000,2955.500,10.485
223,3,2914.833,2955.833,5.657
224,27,2470.722,2961.500,18.142
225,1,3228.500,2958.500,2.828
226,1,2919.500,2959.500,2.828
227,185,3775.781,2970.295,50.284
228,3,2864.500,2966.500,6.828
229,85,3826.876,2969.888,33.799
230,7,3978.214,2967.500,8.485
