 ,Area,X,Y,Perim.
1,12,1747.500,560.000,13.314
2,1,984.500,877.500,2.828
3,7,990.500,881.500,8.485
4,1,762.500,1043.500,2.828
5,6,768.000,1051.500,7.657
6,20,1125.550,1167.400,15.314
7,7,1130.500,1173.500,8.485
8,82,3816.963,1589.866,40.971
9,42,187.405,1591.119,22.385
10,10,914.500,1796.300,11.071
11,34,924.000,1802.500,20.142
12,103,3748.820,1827.053,38.971
13,2,3765.500,1862.000,4.828
14,9,3394.167,1881.389,10.485
15,33,3853.530,1976.076,20.142
16,113,3794.049,2163.367,42.042
17,90,3727.789,2173.456,35.799
18,139,3772.910,2212.996,51.698
19,33,2447.288,2301.470,21.556
20,32,2609.031,2314.719,20.728
21,106,2439.764,2331.623,40.042
22,28,2892.500,2445.393,20.385
23,1,2908.500,2446.500,2.828
24,12,2901.250,2449.083,11.899
25,1,2909.500,2448.500,2.828
26,83,3379.717,2460.994,33.213
27,88,2490.227,2484.523,36.385
28,27,3392.278,2501.796,22.971
29,13,2451.962,2500.115,11.899
30,16,2544.688,2530.875,13.899
31,153,3429.304,2536.944,46.627
32,11,3876.682,2547.682,11.899
33,1,2450.500,2551.500,2.828
34,72,3711.778,2562.847,38.042
35,142,3428.028,2576.655,48.627
36,118,2710.415,2606.042,40.627
37,112,3294.232,2615.116,38.870
38,232,2513.547,2670.573,58.527
39,41,2848.305,2673.963,23.556
40,6,2037.667,2675.667,8.485
41,87,3490.534,2688.580,36.627
42,10,2820.900,2706.700,11.899
43,13,4111.808,2706.500,13.071
44,150,1371.013,2723.200,46.042
45,69,3531.442,2739.833,31.213
46,245,2580.304,2749.149,59.355
47,7,2272.929,2766.786,9.657
48,83,2733.283,2797.584,39.213
49,133,3740.545,2805.914,46.527
50,24,2458.708,2830.833,18.971
51,5,2917.900,2833.700,7.657
52,295,2489.283,2858.975,75.255
53,37,2784.500,2850.500,22.142
54,16,2057.875,2861.688,13.899
55,21,3453.357,2866.643,15.899
56,144,3793.667,2874.708,50.042
57,32,1438.031,2905.281,23.799
58,184,2781.435,2923.788,51.113
59,101,1915.104,2928.896,36.627
60,136,2640.088,2934.478,45.113
61,40,2728.950,2944.250,24.728
62,10,2175.500,2954.300,11.071
63,157,4005.347,2971.557,55.113
64,120,3649.050,2982.833,44.527
65,116,2480.517,2983.819,43.698
66,11,2465.864,2980.409,11.071
67,239,1575.010,2991.245,62.669
68,413,2566.866,3001.858,83.255
69,6,3083.000,3001.167,9.071
70,189,2879.177,3019.399,60.426
71,31,3409.532,3013.919,20.142
72,6,2718.000,3013.500,7.657
73,111,2747.869,3022.932,47.355
74,325,3170.565,3049.112,74.426
75,7,3536.214,3051.500,8.485
76,93,3020.231,3060.188,38.627
77,5,1777.700,3068.900,7.657
78,60,2059.783,3079.333,28.971
79,308,2583.244,3087.792,71.255
80,10,1785.000,3082.500,10.485
81,3,2609.167,3084.167,5.657
82,125,2892.804,3108.252,42.284
83,5,3610.900,3104.700,7.657
84,1,2736.500,3109.500,2.828
85,166,3361.018,3117.614,50.284
86,14,3612.643,3111.643,13.899
87,43,3075.151,3121.314,26.971
88,51,1959.657,3138.127,32.142
89,103,2974.277,3143.917,38.870
90,216,2771.130,3154.440,57.941
91,54,2082.889,3153.222,27.799
92,545,2951.753,3180.550,104.225
93,163,3315.991,3179.782,53.841
94,265,2654.409,3191.994,65.255
95,122,2871.156,3196.066,40.870
96,100,3199.340,3216.950,42.627
97,147,2658.201,3227.697,48.042
98,88,3138.761,3238.205,40.042
99,157,1634.290,3248.213,46.527
100,77,1945.604,3245.903,31.213
101,235,2609.151,3262.474,61.941
102,153,2794.827,3334.657,46.870
103,278,3339.435,3356.896,70.184
104,21,2503.071,3354.119,16.728
105,117,1569.466,3365.449,48.284
106,251,2703.221,3386.532,61.355
107,239,3390.713,3418.036,59.598
108,477,2606.984,3429.695,86.569
109,168,2975.411,3430.030,58.184
110,33,1855.621,3437.348,22.728
111,211,2971.799,3455.012,59.598
112,21,2751.119,3453.452,18.142
113,146,3117.726,3469.096,47.113
114,22,2651.500,3501.000,16.142
115,313,3069.120,3554.011,65.255
