 ,Area,X,Y,Perim.
1,2,1664.500,465.000,4.828
2,1,1498.500,509.500,2.828
3,8,2868.625,559.625,9.071
4,10,3988.000,691.500,10.485
5,16,1665.000,705.938,14.728
6,5,4629.700,961.900,7.657
7,1,3146.500,992.500,2.828
8,2,4513.000,1034.500,4.243
9,25,3134.140,1062.460,20.728
10,1,1183.500,1085.500,2.828
11,4,1278.000,1092.000,5.657
12,105,789.176,1130.214,44.042
13,98,1216.327,1141.704,37.213
14,1,4945.500,1241.500,2.828
15,10,1449.600,1321.700,11.071
16,15,4160.833,1332.967,13.899
17,8,1326.625,1444.625,9.071
18,25,1322.700,1456.060,17.314
19,44,1422.386,1521.932,24.728
20,13,4627.808,1593.500,13.071
21,109,4533.206,1622.353,39.456
22,68,5361.162,1795.662,30.042
23,16,4752.312,1835.875,13.899
24,15,741.033,1929.633,13.314
25,16,4794.938,1954.750,13.899
26,19,4440.500,1961.184,16.485
27,149,4826.708,2005.151,45.213
28,143,714.353,2051.948,47.598
29,23,4639.457,2160.891,16.728
30,18,2870.611,2269.667,15.314
31,1,1133.500,2276.500,2.828
32,12,4575.833,2326.250,15.314
33,3,4581.167,2327.833,5.657
34,182,4808.951,2417.857,49.698
35,2,115.500,2415.000,4.828
36,121,4723.426,2448.178,41.799
37,33,2845.348,2477.652,21.556
38,4,2972.500,2487.750,7.071
39,12,2854.833,2497.833,13.899
40,9,2848.500,2499.500,11.899
41,240,2800.175,2546.963,60.870
42,24,838.792,2627.875,18.728
43,16,996.688,2627.812,15.314
44,311,3145.998,2663.140,68.426
45,16,3283.125,2654.250,13.899
46,17,927.853,2660.088,14.728
47,167,4701.698,2695.422,48.284
48,20,3351.600,2694.950,17.899
49,172,3046.680,2710.971,57.698
50,27,3294.463,2719.759,22.971
51,74,3113.162,2730.284,33.213
52,38,2825.237,2731.974,24.971
53,99,3258.338,2740.520,36.627
54,14,3397.214,2738.143,16.485
55,19,3396.711,2746.553,19.556
56,182,3073.099,2758.082,51.355
57,300,2912.563,2761.200,65.841
58,12,2827.667,2778.417,12.485
59,3,2822.833,2781.833,5.657
60,1,2816.500,2784.500,2.828
61,122,3115.156,2801.779,42.284
62,52,3635.096,2800.654,31.556
63,172,4655.820,2804.733,48.284
