 ,Area,X,Y,Perim.
1,18,2134.000,109.500,14.485
2,4,2653.000,152.000,5.657
3,68,1612.456,451.353,35.213
4,2,2409.500,511.000,4.828
5,10,2416.000,519.500,10.485
6,3,2038.167,531.833,5.657
7,108,1035.324,727.417,37.456
8,2,3918.500,749.000,4.828
9,2,3910.500,751.000,4.828
10,15,2222.100,760.900,13.071
11,1,4031.500,813.500,2.828
12,47,2175.479,838.415,26.385
13,8,2126.625,878.625,9.071
14,57,1236.974,890.570,26.385
15,1,1552.500,1074.500,2.828
16,9,612.611,1212.167,10.485
17,5,2159.900,1248.300,7.657
18,4,512.000,1374.000,5.657
19,3,2690.833,1418.167,5.657
20,19,3740.395,1487.763,17.314
21,26,2018.962,1498.654,17.899
22,139,4024.996,1682.061,45.698
23,5,2130.300,1826.500,8.485
24,21,982.357,1889.643,15.899
25,181,750.373,1906.588,55.598
26,70,1126.514,1903.943,31.456
27,13,1113.808,1905.731,13.899
28,108,1111.898,2454.417,40.870
29,40,4250.275,2506.750,27.213
30,311,561.481,2519.178,75.497
31,107,4214.033,2654.509,43.113
32,89,3979.242,2685.163,42.142
33,12,3880.917,2681.167,14.485
34,9,3911.722,2684.944,11.657
35,35,4154.986,2721.357,22.385
36,69,4155.746,2733.007,30.627
37,87,4145.293,2740.466,34.870
38,223,4022.576,2797.047,62.527
39,44,1090.682,2793.705,28.971
40,54,3968.574,2809.963,29.799
41,35,3972.757,2821.386,21.556
42,18,2763.444,2835.333,16.485
43,5,4015.300,2843.900,7.071
44,3,2477.833,2845.167,5.657
45,5,2487.300,2858.900,9.657
46,1,2489.500,2868.500,2.828
47,1,2490.500,2870.500,2.828
48,5,2491.100,2875.300,7.657
49,7,2799.071,2878.786,9.657
50,23,2375.196,2882.848,17.556
51,231,2968.968,2890.539,60.042
52,26,2767.462,2887.846,18.728
53,116,4149.000,2911.845,47.213
54,265,3850.511,2926.262,63.698
55,22,2513.227,2930.773,21.314
56,2,3068.000,2965.500,4.243
57,174,3901.345,2973.943,50.870
58,93,2822.435,2987.478,41.456
59,8,2965.000,2982.500,11.657
60,5,2966.900,2989.700,7.657
61,25,3044.700,2993.260,17.314
62,85,3868.359,3009.429,38.385
63,6,3041.000,3003.500,7.657
64,308,3134.562,3023.740,72.083
65,2,3100.500,3018.000,4.828
66,1,2331.500,3020.500,2.828
67,18,2567.111,3022.278,16.142
68,204,3917.931,3036.025,59.941
69,1,3079.500,3027.500,2.828
70,7,2590.214,3030.071,9.657
71,30,2580.000,3032.433,22.971
72,16,2548.500,3033.812,15.314
73,175,4856.591,3041.357,55.113
74,10,3086.700,3034.500,10.485
75,12,3886.000,3053.083,15.314
76,16,2549.562,3053.812,13.899
77,31,3889.016,3064.403,20.142
78,115,3977.787,3066.691,41.456
79,207,3722.007,3074.486,58.284
80,73,3747.911,3080.034,34.627
81,41,3765.207,3080.695,24.385
82,5,2932.300,3080.900,7.071
83,1,2962.500,3081.500,2.828
84,115,2734.396,3089.265,41.113
85,5,2959.100,3086.100,9.657
86,13,3102.115,3088.885,11.899
87,30,3758.667,3091.200,20.971
88,2,2958.000,3090.000,5.657
89,23,2584.891,3095.978,17.314
90,1,2956.500,3093.500,2.828
91,4,2955.750,3096.250,7.657
92,1,2454.500,3096.500,2.828
93,219,3125.532,3108.454,62.527
94,25,2817.900,3100.740,17.314
95,33,2827.439,3103.561,20.971
96,44,3772.341,3105.523,25.556
97,237,3964.289,3112.829,60.284
98,29,3200.293,3106.776,20.728
99,1,2953.500,3105.500,2.828
100,4,2589.000,3108.000,5.657
101,5,2953.100,3109.100,9.657
102,2,3662.000,3110.500,4.243
103,7,3262.214,3112.500,8.485
104,3,3108.500,3113.500,6.828
105,8,4021.000,3114.000,11.314
106,35,3783.557,3117.300,23.556
107,41,2687.305,3124.524,26.385
108,19,2614.974,3124.342,15.899
109,2,2841.500,3123.000,4.828
110,65,3641.054,3128.023,36.627
111,19,3241.658,3132.553,17.314
112,204,2821.069,3146.515,59.012
113,49,3239.398,3146.806,29.556
114,28,4100.393,3151.893,20.142
115,68,3323.779,3154.926,31.799
116,16,3807.500,3156.000,13.314
117,253,3094.623,3167.065,62.284
118,1,2928.500,3157.500,2.828
119,1,3348.500,3162.500,2.828
120,2,3103.500,3166.000,4.828
121,9,3828.500,3166.500,9.657
122,79,2541.956,3176.525,32.042
123,146,2620.767,3180.425,51.355
124,2,3037.000,3174.500,4.243
125,44,3746.000,3178.500,23.556
126,568,3654.863,3194.817,107.397
127,20,3175.600,3187.400,15.899
128,136,3846.934,3193.765,47.941
129,118,2854.314,3193.525,43.113
130,8,3724.250,3188.500,11.899
131,9,3749.611,3190.611,10.485
132,9,2836.389,3192.389,11.071
133,11,2305.318,3192.864,11.899
134,13,3174.962,3201.346,12.485
135,16,3069.812,3203.188,14.728
136,7,2993.214,3205.786,10.485
137,136,3860.044,3212.846,43.213
138,87,3044.902,3216.167,37.698
139,1,2987.500,3211.500,2.828
140,92,3876.022,3230.826,40.385
