Slice,Count,Total Area,Average Size,%Area,Perim.
C2-BJZ5-F1-0-BDA-Fused 25ov.tiff,95,123.633,1.301,0.001,3.572
C2-BJZ5-F1-0-BDA-Fused 25ov.tiff,149,976.273,6.552,0.008,9.027
C2-BJZ5-F1-0-BDA-Fused 25ov.tiff,75,1406.856,18.758,0.011,16.259
C2-BJZ5-F1-0-BDA-Fused 25ov.tiff,74,2813.712,38.023,0.023,23.569
C2-BJZ5-F1-0-BDA-Fused 25ov.tiff,52,3292.789,63.323,0.027,31.234
C2-BJZ5-F1-0-BDA-Fused 25ov.tiff,39,3706.852,95.047,0.030,37.839
C2-BJZ5-F1-0-BDA-Fused 25ov.tiff,24,3235.769,134.824,0.026,44.702
C2-BJZ5-F1-0-BDA-Fused 25ov.tiff,16,2728.448,170.528,0.022,49.987
C2-BJZ5-F1-0-BDA-Fused 25ov.tiff,11,2474.788,224.981,0.020,58.542
C2-BJZ5-F1-0-BDA-Fused 25ov.tiff,4,1171.847,292.962,0.009,70.521
C2-BJZ5-F1-0-BDA-Fused 25ov.tiff,1,355.977,355.977,0.003,75.406
C2-BJZ5-F1-0-BDA-Fused 25ov.tiff,0,0.000,NaN,0.000,NaN
