Slice,Count,Total Area,Average Size,%Area,Perim.
C4-BJZ5-D1-12-BDA-Fused 25ov.tiff,62,84.198,1.358,6.589E-4,3.770
C4-BJZ5-D1-12-BDA-Fused 25ov.tiff,79,560.078,7.090,0.004,9.581
C4-BJZ5-D1-12-BDA-Fused 25ov.tiff,56,1099.373,19.632,0.009,17.058
C4-BJZ5-D1-12-BDA-Fused 25ov.tiff,36,1431.369,39.760,0.011,25.095
C4-BJZ5-D1-12-BDA-Fused 25ov.tiff,31,1945.085,62.745,0.015,31.500
C4-BJZ5-D1-12-BDA-Fused 25ov.tiff,19,1891.795,99.568,0.015,39.336
C4-BJZ5-D1-12-BDA-Fused 25ov.tiff,20,2653.309,132.665,0.021,45.901
C4-BJZ5-D1-12-BDA-Fused 25ov.tiff,20,3520.870,176.044,0.028,53.080
C4-BJZ5-D1-12-BDA-Fused 25ov.tiff,3,653.868,217.956,0.005,57.571
C4-BJZ5-D1-12-BDA-Fused 25ov.tiff,2,589.387,294.694,0.005,68.091
C4-BJZ5-D1-12-BDA-Fused 25ov.tiff,0,0.000,NaN,0.000,NaN
C4-BJZ5-D1-12-BDA-Fused 25ov.tiff,0,0.000,NaN,0.000,NaN
