Slice,Count,Total Area,Average Size,%Area,Perim.
T2-BJZ5-A1-12-BDA-Fused 30ov.tiff,8,7.240,0.905,6.207E-5,2.784
T2-BJZ5-A1-12-BDA-Fused 30ov.tiff,25,154.018,6.161,0.001,8.464
T2-BJZ5-A1-12-BDA-Fused 30ov.tiff,19,376.488,19.815,0.003,16.508
T2-BJZ5-A1-12-BDA-Fused 30ov.tiff,6,229.711,38.285,0.002,25.033
T2-BJZ5-A1-12-BDA-Fused 30ov.tiff,20,1297.306,64.865,0.011,32.050
T2-BJZ5-A1-12-BDA-Fused 30ov.tiff,18,1725.133,95.841,0.015,39.137
T2-BJZ5-A1-12-BDA-Fused 30ov.tiff,5,679.259,135.852,0.006,46.666
T2-BJZ5-A1-12-BDA-Fused 30ov.tiff,8,1347.329,168.416,0.012,52.289
T2-BJZ5-A1-12-BDA-Fused 30ov.tiff,3,622.654,207.551,0.005,57.044
T2-BJZ5-A1-12-BDA-Fused 30ov.tiff,2,585.795,292.898,0.005,68.888
T2-BJZ5-A1-12-BDA-Fused 30ov.tiff,1,358.717,358.717,0.003,84.557
T2-BJZ5-A1-12-BDA-Fused 30ov.tiff,0,0.000,NaN,0.000,NaN
