Slice,Count,Total Area,Average Size,%Area,Perim.
C6-BJZ5-D1-2-BDA-Fused 25ov.tiff,74,82.067,1.109,6.435E-4,3.187
C6-BJZ5-D1-2-BDA-Fused 25ov.tiff,72,482.807,6.706,0.004,9.383
C6-BJZ5-D1-2-BDA-Fused 25ov.tiff,44,845.179,19.209,0.007,16.472
C6-BJZ5-D1-2-BDA-Fused 25ov.tiff,34,1291.217,37.977,0.010,23.416
C6-BJZ5-D1-2-BDA-Fused 25ov.tiff,27,1786.281,66.159,0.014,32.359
C6-BJZ5-D1-2-BDA-Fused 25ov.tiff,19,1776.689,93.510,0.014,36.606
C6-BJZ5-D1-2-BDA-Fused 25ov.tiff,19,2466.794,129.831,0.019,43.451
C6-BJZ5-D1-2-BDA-Fused 25ov.tiff,10,1766.031,176.603,0.014,51.401
C6-BJZ5-D1-2-BDA-Fused 25ov.tiff,7,1537.949,219.707,0.012,59.306
C6-BJZ5-D1-2-BDA-Fused 25ov.tiff,2,565.407,282.703,0.004,70.584
C6-BJZ5-D1-2-BDA-Fused 25ov.tiff,1,349.049,349.049,0.003,71.527
C6-BJZ5-D1-2-BDA-Fused 25ov.tiff,0,0.000,NaN,0.000,NaN
