Slice,Count,Total Area,Average Size,%Area,Perim.
C1-BJZ5-F1-4-BDA-Fused 25ov.tiff,206,249.397,1.211,0.002,3.483
C1-BJZ5-F1-4-BDA-Fused 25ov.tiff,197,1325.855,6.730,0.011,9.452
C1-BJZ5-F1-4-BDA-Fused 25ov.tiff,97,1877.407,19.355,0.015,16.790
C1-BJZ5-F1-4-BDA-Fused 25ov.tiff,57,2144.390,37.621,0.017,23.946
C1-BJZ5-F1-4-BDA-Fused 25ov.tiff,34,2109.751,62.052,0.017,31.733
C1-BJZ5-F1-4-BDA-Fused 25ov.tiff,5,454.564,90.913,0.004,37.454
C1-BJZ5-F1-4-BDA-Fused 25ov.tiff,5,674.118,134.824,0.005,47.046
C1-BJZ5-F1-4-BDA-Fused 25ov.tiff,1,158.271,158.271,0.001,46.604
C1-BJZ5-F1-4-BDA-Fused 25ov.tiff,0,0.000,NaN,0.000,NaN
C1-BJZ5-F1-4-BDA-Fused 25ov.tiff,0,0.000,NaN,0.000,NaN
C1-BJZ5-F1-4-BDA-Fused 25ov.tiff,0,0.000,NaN,0.000,NaN
C1-BJZ5-F1-4-BDA-Fused 25ov.tiff,0,0.000,NaN,0.000,NaN
