Slice,Count,Total Area,Average Size,%Area,Perim.
C7-BJZ5-C1-12-BDA-Fused 25ov.tiff,69,91.659,1.328,7.299E-4,3.596
C7-BJZ5-C1-12-BDA-Fused 25ov.tiff,63,447.103,7.097,0.004,9.330
C7-BJZ5-C1-12-BDA-Fused 25ov.tiff,42,824.396,19.628,0.007,16.826
C7-BJZ5-C1-12-BDA-Fused 25ov.tiff,35,1345.040,38.430,0.011,23.233
C7-BJZ5-C1-12-BDA-Fused 25ov.tiff,24,1533.153,63.881,0.012,30.927
C7-BJZ5-C1-12-BDA-Fused 25ov.tiff,23,2186.489,95.065,0.017,37.428
C7-BJZ5-C1-12-BDA-Fused 25ov.tiff,16,2095.896,130.993,0.017,44.720
C7-BJZ5-C1-12-BDA-Fused 25ov.tiff,14,2472.123,176.580,0.020,52.030
C7-BJZ5-C1-12-BDA-Fused 25ov.tiff,2,420.458,210.229,0.003,60.828
C7-BJZ5-C1-12-BDA-Fused 25ov.tiff,4,1095.642,273.911,0.009,69.017
C7-BJZ5-C1-12-BDA-Fused 25ov.tiff,0,0.000,NaN,0.000,NaN
C7-BJZ5-C1-12-BDA-Fused 25ov.tiff,0,0.000,NaN,0.000,NaN
