Slice,Count,Total Area,Average Size,%Area,Perim.
C3-BJZ5-E1-8-BDA-Fused 25ov.tiff,60,84.731,1.412,6.757E-4,3.740
C3-BJZ5-E1-8-BDA-Fused 25ov.tiff,73,515.847,7.066,0.004,9.616
C3-BJZ5-E1-8-BDA-Fused 25ov.tiff,52,1011.444,19.451,0.008,17.006
C3-BJZ5-E1-8-BDA-Fused 25ov.tiff,34,1326.921,39.027,0.011,24.740
C3-BJZ5-E1-8-BDA-Fused 25ov.tiff,26,1599.233,61.509,0.013,31.662
C3-BJZ5-E1-8-BDA-Fused 25ov.tiff,26,2561.117,98.505,0.020,40.011
C3-BJZ5-E1-8-BDA-Fused 25ov.tiff,26,3466.514,133.327,0.028,46.763
C3-BJZ5-E1-8-BDA-Fused 25ov.tiff,11,1849.163,168.106,0.015,54.082
C3-BJZ5-E1-8-BDA-Fused 25ov.tiff,7,1520.364,217.195,0.012,60.237
C3-BJZ5-E1-8-BDA-Fused 25ov.tiff,4,1099.373,274.843,0.009,69.809
C3-BJZ5-E1-8-BDA-Fused 25ov.tiff,0,0.000,NaN,0.000,NaN
C3-BJZ5-E1-8-BDA-Fused 25ov.tiff,0,0.000,NaN,0.000,NaN
