Slice,Count,Total Area,Average Size,%Area,Perim.
C8-BJZ5-B1-12-BDA-Fused 30ov.tiff,37,43.165,1.167,3.665E-4,3.292
C8-BJZ5-B1-12-BDA-Fused 30ov.tiff,51,383.155,7.513,0.003,9.851
C8-BJZ5-B1-12-BDA-Fused 30ov.tiff,32,618.697,19.334,0.005,16.495
C8-BJZ5-B1-12-BDA-Fused 30ov.tiff,27,1036.491,38.389,0.009,23.230
C8-BJZ5-B1-12-BDA-Fused 30ov.tiff,27,1690.359,62.606,0.014,30.228
C8-BJZ5-B1-12-BDA-Fused 30ov.tiff,21,1989.849,94.755,0.017,37.345
C8-BJZ5-B1-12-BDA-Fused 30ov.tiff,13,1673.306,128.716,0.014,43.842
C8-BJZ5-B1-12-BDA-Fused 30ov.tiff,11,1883.802,171.255,0.016,50.848
C8-BJZ5-B1-12-BDA-Fused 30ov.tiff,2,410.333,205.166,0.003,56.182
C8-BJZ5-B1-12-BDA-Fused 30ov.tiff,1,313.878,313.878,0.003,66.970
C8-BJZ5-B1-12-BDA-Fused 30ov.tiff,0,0.000,NaN,0.000,NaN
C8-BJZ5-B1-12-BDA-Fused 30ov.tiff,0,0.000,NaN,0.000,NaN
